house_id,montly_rent,deposit_value,house_rules,street,size,lat_long,scrapy_datetime
1717355,EUR 1150,EUR 1200,"['Shared facilities', 'Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private basement', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Hoffeldstraße,Property: 38 m2,"['51.22699', '6.81498']",2021/05/11 - 06:29:29
1711689,EUR 799,EUR 500,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Pets negotiable', 'Playing Musical Instruments not allowed', 'Smoking not allowed']",Harleßstraße,Property: 27 m2,"['51.2445', '6.79983']",2021/05/11 - 06:29:31
1705841,EUR 990,EUR 995,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,"['51.22123', '6.78793']",2021/05/11 - 06:29:37
1705823,EUR 990,EUR 995,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Air conditioning', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 31 m2,"['51.22123', '6.78793']",2021/05/11 - 06:29:39
1718013,EUR 1150,EUR 1150,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Smoking allowed only outside', 'Playing Musical Instruments not allowed', 'Pets not allowed']",Derfflingerstraße,Property: 65 m2,"['51.25745', '6.81531']",2021/05/11 - 06:29:45
1722984,EUR 660,EUR 0,"['Private facilities', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'Private balcony', 'WiFi', 'Bed', 'Bedroom lock', 'Washing machine', 'Closet', 'Electrical heating', 'Smoking allowed only outside', 'Pets not allowed']",Merziger Straße,Property: 20 m2,"['51.2503358', '6.7870948']",2021/05/11 - 06:29:49
1713751,EUR 1500,EUR 2000,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Radeberger Straße,Property: 60 m2,"['51.2289', '6.84812']",2021/05/11 - 06:29:51
1718034,EUR 590,EUR 1200,"['Shared garden', 'Shared toilet', 'Shared kitchen', 'No Parking', 'No living room', 'No basement', 'WiFi', 'Living room furniture', 'Bed', 'Bedroom lock', 'Shared kitchenware', 'Washing machine', 'Playing Musical Instruments allowed', 'Smoking allowed only outside', 'Pets not allowed']",Reisholzer Straße,Property: 100 m2,"['51.20634', '6.8328']",2021/05/11 - 06:29:53
1705840,EUR 1050,EUR 1050,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Closet', 'Central heating', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,"['51.22123', '6.78793']",2021/05/11 - 06:29:56
1704580,EUR 850,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Closet', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Westfalenstraße,Furnished,"['51.26296', '6.8168']",2021/05/11 - 06:29:58
